year,month_num,month,group,brand,registrations
2015,1,January,Renault Group,Dacia,26228
2015,1,January,Renault Group,Renault,62562
2015,1,January,Stellantis,Alfa Romeo,3892
2015,1,January,Stellantis,Chrysler,36
2015,1,January,Stellantis,Citroen,39880
2015,1,January,Stellantis,DS,4870
2015,1,January,Stellantis,Dodge,2
2015,1,January,Stellantis,Fiat,45839
2015,1,January,Stellantis,Jeep,5545
2015,1,January,Stellantis,Lancia,5522
2015,1,January,Stellantis,Others,645
2015,1,January,Stellantis,Peugeot,61466
2015,1,January,Toyota Group,Others,3034
2015,1,January,Toyota Group,Toyota,42753
2015,1,January,Volkswagen Group,Audi,53119
2015,1,January,Volkswagen Group,Others,251
2015,1,January,Volkswagen Group,Seat,22965
2015,1,January,Volkswagen Group,Skoda,31363
2015,1,January,Volkswagen Group,Volkswagen,125508
2015,2,February,Renault Group,Dacia,21751
2015,2,February,Renault Group,Renault,65869
2015,2,February,Stellantis,Alfa Romeo,4582
2015,2,February,Stellantis,Chrysler,31
2015,2,February,Stellantis,Citroen,39359
2015,2,February,Stellantis,DS,4487
2015,2,February,Stellantis,Dodge,3
2015,2,February,Stellantis,Fiat,47050
2015,2,February,Stellantis,Jeep,5991
2015,2,February,Stellantis,Lancia,5863
2015,2,February,Stellantis,Others,431
2015,2,February,Stellantis,Peugeot,59816
2015,2,February,Toyota Group,Others,1688
2015,2,February,Toyota Group,Toyota,35892
2015,2,February,Volkswagen Group,Audi,48219
2015,2,February,Volkswagen Group,Others,150
2015,2,February,Volkswagen Group,Seat,24552
2015,2,February,Volkswagen Group,Skoda,30678
2015,2,February,Volkswagen Group,Volkswagen,111815
2015,3,March,Renault Group,Dacia,32127
2015,3,March,Renault Group,Renault,102566
2015,3,March,Stellantis,Alfa Romeo,6172
2015,3,March,Stellantis,Chrysler,46
2015,3,March,Stellantis,Citroen,60251
2015,3,March,Stellantis,DS,9254
2015,3,March,Stellantis,Dodge,12
2015,3,March,Stellantis,Fiat,72823
2015,3,March,Stellantis,Jeep,8830
2015,3,March,Stellantis,Lancia,6189
2015,3,March,Stellantis,Others,1082
2015,3,March,Stellantis,Peugeot,93127
2015,3,March,Toyota Group,Others,4491
2015,3,March,Toyota Group,Toyota,62174
2015,3,March,Volkswagen Group,Audi,85773
