year,group,protocol,n_vehicles_total,avg_co2_fleet_gkm,pct_ve,pct_phev,pct_thermique
2015,Renault Group,NEDC,29296.0,118.53,0.74,0.0,99.26
2015,Stellantis,NEDC,16305.0,134.8,0.01,0.0,99.74
2015,Toyota Group,NEDC,13184.0,123.47,0.01,0.0,97.93
2015,Volkswagen Group,NEDC,151540.0,131.39,0.16,0.01,99.25
2016,Renault Group,NEDC,31106.0,114.18,0.66,0.0,99.34
2016,Stellantis,NEDC,18898.0,129.56,0.0,0.0,99.92
2016,Volkswagen Group,NEDC,182476.0,127.75,0.16,0.0,99.23
2017,Renault Group,NEDC,911687.0,0.0,2.06,0.0,97.94
2017,Stellantis,NEDC,184751.0,0.0,0.0,0.0,99.98
2017,Volkswagen Group,NEDC,963196.0,0.0,0.28,0.75,98.89
2018,Renault Group,NEDC,1634182.0,0.0,2.2,0.0,97.8
2018,Stellantis,NEDC,3470022.0,0.0,0.14,0.0,99.75
2018,Toyota Group,NEDC,959465.0,0.0,0.0,0.0,99.97
2018,Volkswagen Group,NEDC,3549392.0,0.0,0.45,0.85,98.63
2019,Renault Group,NEDC,1653105.0,0.0,2.73,0.0,97.27
2019,Stellantis,NEDC,3491602.0,0.0,3.12,0.02,96.86
2019,Toyota Group,NEDC,1035443.0,0.0,0.0,0.24,99.76
2019,Volkswagen Group,NEDC,3722170.0,0.0,1.25,0.51,98.23
2020,Renault Group,NEDC,1630434.0,0.0,8.48,2.71,88.81
2020,Stellantis,NEDC,2557005.0,0.0,6.78,2.16,91.06
2020,Toyota Group,NEDC,829254.0,0.0,1.17,0.76,98.08
2020,Volkswagen Group,NEDC,2954392.0,0.0,6.63,4.25,89.04
2021,Renault Group,WLTP,1302779.0,110.18,11.23,4.25,84.52
2021,Stellantis,WLTP,2139585.0,114.88,7.06,5.48,87.46
2021,Toyota Group,WLTP,922666.0,119.01,1.26,2.56,96.18
2021,Volkswagen Group,WLTP,2490960.0,118.68,10.79,8.96,80.25
2022,Renault Group,WLTP,1229677.0,107.43,13.02,3.44,83.54
2022,Stellantis,WLTP,1839471.0,105.48,10.86,7.49,81.65
2022,Toyota Group,WLTP,722138.0,117.28,1.15,4.08,94.77
2022,Volkswagen Group,WLTP,2343081.0,120.13,12.23,7.0,80.76
2023,Renault Group,WLTP,1435668.0,110.55,10.61,1.54,87.85
2023,Stellantis,WLTP,1873795.0,104.69,12.05,6.88,81.07
2023,Toyota Group,WLTP,1077334.0,112.02,2.58,5.56,91.86
2023,Volkswagen Group,WLTP,2747592.0,119.85,12.87,5.83,81.31
2024,Renault Group,WLTP,1466546.0,112.39,7.94,1.14,90.91
2024,Stellantis,WLTP,1735070.0,108.75,10.23,3.75,86.02
2024,Toyota Group,WLTP,1033199.0,109.35,2.26,4.52,93.19
2024,Volkswagen Group,WLTP,2833686.0,118.13,11.98,6.23,81.79
2025,Renault Group,WLTP,1195764.0,108.26,6.31,2.44,91.26
2025,Stellantis,WLTP,1569364.0,100.81,13.94,2.46,83.59
2025,Toyota Group,WLTP,791205.0,96.48,3.88,9.96,86.14
2025,Volkswagen Group,WLTP,2958585.0,100.29,19.59,10.66,69.75
